func,type,x1,x2,p,w,L
lowheight,1,300,2000,90,20,141.9825172
lowheight,1,300,2000,90,30,141.9825172
lowheight,1,300,2000,95,20,144.5256317
lowheight,1,300,2000,95,30,144.5256317
lowheight,1,900,5,5,20,36.14022507
lowheight,1,900,5,5,30,36.14022507
lowheight,1,900,5,10,20,37.65773005
lowheight,1,900,5,10,30,37.65773005
lowheight,1,900,5,25,20,40.93312679
lowheight,1,900,5,25,30,40.93312679
lowheight,1,900,5,50,20,45.51435989
lowheight,1,900,5,50,30,45.51435989
lowheight,1,900,5,75,20,50.8482285
lowheight,1,900,5,75,30,50.8482285
lowheight,1,900,5,90,20,56.10726319
lowheight,1,900,5,90,30,56.10726319
lowheight,1,900,5,95,20,59.40777949
lowheight,1,900,5,95,30,59.40777949
lowheight,1,900,10,5,20,42.16082499
lowheight,1,900,10,5,30,42.16082499
lowheight,1,900,10,10,20,43.67832997
lowheight,1,900,10,10,30,43.67832997
lowheight,1,900,10,25,20,46.9537267
lowheight,1,900,10,25,30,46.9537267
lowheight,1,900,10,50,20,51.5349598
lowheight,1,900,10,50,30,51.5349598
lowheight,1,900,10,75,20,56.86882841
lowheight,1,900,10,75,30,56.86882841
lowheight,1,900,10,90,20,62.12786311
lowheight,1,900,10,90,30,62.12786311
lowheight,1,900,10,95,20,65.42837941
lowheight,1,900,10,95,30,65.42837941
lowheight,1,900,50,5,20,56.14022507
lowheight,1,900,50,5,30,56.14022507
lowheight,1,900,50,10,20,57.65773005
lowheight,1,900,50,10,30,57.65773005
lowheight,1,900,50,25,20,60.93312679
lowheight,1,900,50,25,30,60.93312679
lowheight,1,900,50,50,20,73.23008876
lowheight,1,900,50,50,30,70.78738022
lowheight,1,900,50,75,20,95.12114135
lowheight,1,900,50,75,30,90.17985399
lowheight,1,900,50,90,20,99.37057406
lowheight,1,900,50,90,30,99.37057406
lowheight,1,900,50,95,20,101.9136885
lowheight,1,900,50,95,30,101.9136885
lowheight,1,900,100,5,20,62.16082499
lowheight,1,900,100,5,30,62.16082499
lowheight,1,900,100,10,20,63.67832997
lowheight,1,900,100,10,30,63.67832997
lowheight,1,900,100,25,20,66.9537267
lowheight,1,900,100,25,30,66.9537267
lowheight,1,900,100,50,20,102.4409129
lowheight,1,900,100,50,30,102.4409129
lowheight,1,900,100,75,20,107.1623412
lowheight,1,900,100,75,30,107.1623412
lowheight,1,900,100,90,20,111.4117739
lowheight,1,900,100,90,30,111.4117739
lowheight,1,900,100,95,20,113.9548883
lowheight,1,900,100,95,30,113.9548883
lowheight,1,900,500,5,20,118.8857377
lowheight,1,900,500,5,30,118.8857377
lowheight,1,900,500,10,20,121.4288521
lowheight,1,900,500,10,30,121.4288521
lowheight,1,900,500,25,20,125.6782848
lowheight,1,900,500,25,30,125.6782848
lowheight,1,900,500,50,20,130.3997131
lowheight,1,900,500,50,30,130.3997131
lowheight,1,900,500,75,20,135.1211413
lowheight,1,900,500,75,30,135.1211413
lowheight,1,900,500,90,20,139.3705741
lowheight,1,900,500,90,30,139.3705741
lowheight,1,900,500,95,20,141.9136885
lowheight,1,900,500,95,30,141.9136885
lowheight,1,900,1000,5,20,130.9269375
lowheight,1,900,1000,5,30,130.9269375
